"SEQN","Gender_discrete","Age_continuous","Race_discrete","Education_discrete","WTINT2YR_continuous","WTMEC2YR_continuous","SDMVPSU_continuous","SDMVSTRA_continuous"
83732,"Male",62,"Non-Hispanic White","College graduate or above",134671.370419,135629.507405,1,125
83733,"Male",53,"Non-Hispanic White","High school graduate/GED or equivalent",24328.560239,25282.425927,1,125
83734,"Male",78,"Non-Hispanic White","High school graduate/GED or equivalent",12400.008522,12575.838818,1,131
83735,"Female",56,"Non-Hispanic White","College graduate or above",102717.995647,102078.634508,1,131
83736,"Female",42,"Non-Hispanic Black","Some college or AA degree",17627.674984,18234.736219,2,126
83737,"Female",72,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",11252.311968,10878.684022,1,128
83738,"Female",11,"Mexican American",NA,9964.725426,9860.624532,1,120
83739,"Male",4,"Non-Hispanic White",NA,44749.889547,46173.307234,2,124
83740,"Male",1,"Other Hispanic",NA,9891.944044,10963.31371,1,119
83741,"Male",22,"Non-Hispanic Black","Some college or AA degree",37043.087007,39353.307397,2,128
83742,"Female",32,"Mexican American","Some college or AA degree",22744.355082,23557.163453,1,125
83743,"Male",18,"Other Race - Including Multi-Racial",NA,18526.159589,18249.325929,2,122
83744,"Male",56,"Non-Hispanic Black","High school graduate/GED or equivalent",20395.53531,20068.662891,2,126
83745,"Female",15,"Non-Hispanic White",NA,24788.723062,25399.385035,2,126
83746,"Female",4,"Other Race - Including Multi-Racial",NA,10998.012047,11273.997898,2,129
83747,"Male",46,"Non-Hispanic White","College graduate or above",34513.077877,35673.964272,1,121
83748,"Male",3,"Non-Hispanic Black",NA,10988.317325,11184.295239,2,131
83749,"Female",17,"Non-Hispanic White",NA,60125.440997,63059.812938,2,131
83750,"Male",45,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",96194.928435,97001.987877,1,125
83751,"Female",16,"Mexican American",NA,14862.011194,14802.213772,1,128
83752,"Female",30,"Other Hispanic","Some college or AA degree",36978.419865,38680.531261,1,124
83753,"Male",15,"Non-Hispanic Black",NA,11836.753445,14181.702736,1,119
83754,"Female",67,"Other Hispanic","College graduate or above",10495.865944,10191.914345,1,128
83755,"Male",67,"Non-Hispanic Black","College graduate or above",14080.095558,13991.639152,1,126
83756,"Male",16,"Non-Hispanic White",NA,45738.157443,46918.697172,1,122
83757,"Female",57,"Other Hispanic","Less than 9th grade",11709.112101,12413.062527,1,120
83758,"Male",80,"Non-Hispanic White","College graduate or above",30375.765839,0,2,133
83759,"Female",19,"Mexican American",NA,18928.631028,19250.414038,2,121
83760,"Female",3,"Non-Hispanic Black",NA,8862.399321,8919.396129,2,126
83761,"Female",24,"Other Race - Including Multi-Racial","College graduate or above",15420.801307,18010.012692,1,119
83762,"Female",27,"Non-Hispanic Black","Some college or AA degree",38387.34103,43424.328288,1,132
83763,"Female",2,"Other Hispanic",NA,17174.314126,18158.809883,1,127
83764,"Male",14,"Non-Hispanic White",NA,69163.003117,70889.80172,2,120
83765,"Female",0,"Non-Hispanic White",NA,13932.170173,14073.383109,2,123
83766,"Female",10,"Non-Hispanic White",NA,48048.790838,47166.956028,1,126
83767,"Female",54,"Other Race - Including Multi-Racial","Some college or AA degree",21914.036865,23219.518074,2,122
83768,"Female",15,"Non-Hispanic White",NA,22414.372179,23022.326092,2,120
83769,"Male",49,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",26837.741442,28350.831746,1,132
83770,"Male",15,"Non-Hispanic Black",NA,13912.889251,15588.713904,2,132
83771,"Female",2,"Mexican American",NA,10598.714904,0,1,121
83772,"Female",2,"Other Race - Including Multi-Racial",NA,7757.921874,8064.033105,2,125
83773,"Female",80,"Non-Hispanic White","High school graduate/GED or equivalent",37582.053359,39939.418885,1,131
83774,"Female",13,"Non-Hispanic White",NA,72000.749141,73774.463719,1,133
83775,"Female",69,"Other Hispanic","Less than 9th grade",7250.103342,8799.980525,2,119
83776,"Female",58,"Mexican American","College graduate or above",21433.175988,21493.64217,2,128
83777,"Male",56,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",13892.041938,14484.987902,2,133
83778,"Male",16,"Other Hispanic",NA,18894.649065,18651.126141,1,127
83779,"Female",1,"Other Race - Including Multi-Racial",NA,11562.467855,11852.618249,1,128
83780,"Male",4,"Mexican American",NA,18292.899274,18941.868594,1,128
83781,"Female",27,"Non-Hispanic Black","College graduate or above",34068.859547,38537.18944,2,119
83782,"Female",0,"Non-Hispanic White",NA,8734.840837,0,1,125
83783,"Male",17,"Non-Hispanic White",NA,78077.781768,89837.269154,2,129
83784,"Male",22,"Other Hispanic","Some college or AA degree",38148.533472,42493.486456,2,121
83785,"Female",60,"Other Hispanic","College graduate or above",10495.865944,10191.914345,1,128
83786,"Male",51,"Non-Hispanic Black","Some college or AA degree",25558.45369,28391.195299,2,129
83787,"Female",68,"Mexican American","Less than 9th grade",8842.349896,10732.606587,1,128
83788,"Female",69,"Non-Hispanic White","Some college or AA degree",50114.531635,49234.971244,2,120
83789,"Male",66,"Non-Hispanic White","College graduate or above",181684.438654,181461.242024,1,132
83790,"Male",56,"Non-Hispanic White","Less than 9th grade",31179.690344,32402.172747,2,126
83791,"Female",80,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",59524.529308,62213.984015,2,123
83792,"Female",3,"Mexican American",NA,11930.316994,13485.705041,1,120
83793,"Female",11,"Non-Hispanic White",NA,18662.216375,18319.710523,2,128
83794,"Female",10,"Non-Hispanic Black",NA,20199.623975,22282.470611,1,132
83795,"Male",5,"Non-Hispanic White",NA,26972.360015,28083.547434,1,126
83796,"Female",4,"Non-Hispanic White",NA,32232.37358,34556.852945,1,130
83797,"Female",1,"Other Hispanic",NA,10315.958657,10850.57886,2,120
83798,"Female",0,"Other Race - Including Multi-Racial",NA,18167.519526,18351.660886,2,130
83799,"Female",37,"Other Hispanic","Some college or AA degree",34128.785029,35348.435447,1,122
83800,"Male",10,"Non-Hispanic Black",NA,10879.909707,11228.832089,2,129
83801,"Female",80,"Non-Hispanic White","College graduate or above",59053.937375,61722.129659,2,132
83802,"Female",29,"Mexican American","High school graduate/GED or equivalent",21059.645511,26347.770743,2,120
83803,"Male",27,"Non-Hispanic Black","Some college or AA degree",21218.100824,21170.1696,2,126
83804,"Male",1,"Mexican American",NA,9489.853377,11178.735123,1,120
83805,"Female",7,"Non-Hispanic Black",NA,6362.898245,6350.397864,1,119
83806,"Female",2,"Non-Hispanic White",NA,16856.3521,17055.823213,2,125
83807,"Female",10,"Mexican American",NA,8393.295458,9745.235573,2,133
83808,"Male",4,"Other Race - Including Multi-Racial",NA,8413.533739,8502.744352,1,129
83809,"Female",20,"Non-Hispanic Black","High school graduate/GED or equivalent",37564.933469,40405.577191,1,129
83810,"Female",6,"Non-Hispanic Black",NA,7659.782235,7644.73403,2,133
83811,"Female",7,"Non-Hispanic White",NA,41211.487057,40455.136622,2,120
83812,"Female",68,"Mexican American","High school graduate/GED or equivalent",10255.968393,9985.161752,1,124
83813,"Male",24,"Non-Hispanic White","Some college or AA degree",119259.400514,127925.616456,1,130
83814,"Female",11,"Other Hispanic",NA,11286.134964,13126.870219,2,125
83815,"Female",15,"Non-Hispanic Black",NA,15067.687055,14892.709535,1,121
83816,"Male",27,"Non-Hispanic White","Some college or AA degree",68394.019682,73364.003944,1,126
83817,"Male",42,"Non-Hispanic White","College graduate or above",155365.014086,156668.5007,2,124
83818,"Female",80,"Other Hispanic","Less than 9th grade",7124.421828,8609.62524,2,119
83819,"Female",16,"Non-Hispanic White",NA,33923.927962,36859.21159,2,132
83820,"Male",70,"Non-Hispanic White","College graduate or above",56259.36181,57057.111281,2,132
83821,"Male",80,"Non-Hispanic White","Less than 9th grade",15513.741918,16856.90242,1,130
83822,"Female",20,"Non-Hispanic Black","Some college or AA degree",35323.517224,35683.4136,2,126
83823,"Female",29,"Mexican American","Less than 9th grade",21819.187162,23096.462098,1,129
83824,"Male",23,"Other Race - Including Multi-Racial","College graduate or above",18936.932921,17901.767853,1,119
83825,"Female",16,"Non-Hispanic Black",NA,18361.460666,17985.284751,1,121
83826,"Male",6,"Mexican American",NA,13195.838973,13555.028429,1,120
83827,"Male",61,"Non-Hispanic Black","High school graduate/GED or equivalent",14080.095558,15028.726858,1,126
83828,"Female",39,"Mexican American","High school graduate/GED or equivalent",29007.798687,30343.023526,2,129
83829,"Male",50,"Other Race - Including Multi-Racial","College graduate or above",16707.332452,19543.327056,2,122
83830,"Male",15,"Non-Hispanic Black",NA,13143.715892,13149.569579,2,131
83831,"Female",15,"Other Race - Including Multi-Racial",NA,36112.973753,37002.604886,1,130
83832,"Female",50,"Mexican American","Less than 9th grade",11709.112101,12034.175845,1,121
83833,"Male",14,"Non-Hispanic White",NA,25568.61494,26206.988732,2,132
83834,"Male",69,"Non-Hispanic Black","High school graduate/GED or equivalent",11885.516628,12267.52054,2,131
83835,"Female",13,"Non-Hispanic Black",NA,15852.64401,15711.013737,2,131
83836,"Female",18,"Mexican American",NA,10229.927692,10403.834454,1,133
83837,"Female",45,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",15415.161445,16341.919117,1,133
83838,"Female",8,"Mexican American",NA,10810.764172,10723.808638,1,128
83839,"Male",13,"Non-Hispanic White",NA,84345.745585,86052.50232,2,124
83840,"Female",0,"Mexican American",NA,5844.27939,6011.29296,1,122
83841,"Male",13,"Other Race - Including Multi-Racial",NA,16056.004977,15451.603797,2,122
83842,"Male",1,"Non-Hispanic White",NA,25032.393159,25928.101863,2,124
83843,"Male",80,"Non-Hispanic White","Some college or AA degree",17184.348418,18517.464588,1,128
83844,"Male",27,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",29671.144939,33012.516984,1,121
83845,"Female",44,"Non-Hispanic Black","Less than 9th grade",21984.309488,22031.510992,2,124
83846,"Female",41,"Non-Hispanic Black","Some college or AA degree",29320.202984,0,2,128
83847,"Male",18,"Non-Hispanic White",NA,82367.370906,86016.324929,2,128
83848,"Male",10,"Non-Hispanic White",NA,35932.435934,36403.714454,1,125
83849,"Male",71,"Other Hispanic","Some college or AA degree",11138.899257,11258.826795,1,127
83850,"Male",13,"Non-Hispanic White",NA,57794.935069,0,1,126
83851,"Female",37,"Non-Hispanic White","High school graduate/GED or equivalent",73609.001981,73157.086814,1,120
83852,"Female",0,"Non-Hispanic White",NA,17442.317562,18895.88029,2,133
83853,"Female",49,"Non-Hispanic White","High school graduate/GED or equivalent",110300.892318,110568.780895,2,123
83854,"Female",46,"Mexican American","College graduate or above",25482.342729,26459.144642,1,127
83855,"Female",12,"Non-Hispanic White",NA,71570.669007,73333.788703,2,125
83856,"Male",30,"Non-Hispanic White","Some college or AA degree",46748.643978,48195.032625,1,130
83857,"Female",31,"Non-Hispanic White","College graduate or above",131578.075085,135210.781434,1,130
83858,"Male",0,"Mexican American",NA,5770.330493,5650.764298,1,120
83859,"Male",2,"Non-Hispanic White",NA,14675.010638,16189.903052,1,125
83860,"Male",41,"Non-Hispanic Black","Some college or AA degree",22734.584112,22668.56273,2,125
83861,"Male",80,"Non-Hispanic White","College graduate or above",43427.971666,0,2,120
83862,"Female",19,"Other Hispanic",NA,27194.0522,27656.345746,2,127
83863,"Male",35,"Mexican American","High school graduate/GED or equivalent",24494.468888,25463.372657,1,120
83864,"Male",4,"Non-Hispanic Black",NA,14839.392019,15599.701949,1,132
83865,"Female",21,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",62298.23518,63044.869905,2,126
83866,"Male",40,"Non-Hispanic Black","Some college or AA degree",29757.77379,29280.855908,1,132
83867,"Male",13,"Other Race - Including Multi-Racial",NA,13634.875841,14798.442544,2,121
83868,"Female",11,"Mexican American",NA,16096.785967,16002.500607,1,121
83869,"Female",67,"Non-Hispanic White","College graduate or above",37858.790466,37505.346642,2,132
83870,"Male",48,"Mexican American","High school graduate/GED or equivalent",39125.717233,40991.596214,1,132
83871,"Female",30,"Mexican American","Less than 9th grade",22381.025078,23411.220472,1,120
83872,"Male",63,"Mexican American","High school graduate/GED or equivalent",8012.500733,7738.995646,1,122
83873,"Male",4,"Non-Hispanic White",NA,43814.396988,44819.871091,2,120
83874,"Male",54,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",15996.009207,16247.530192,1,133
83875,"Female",42,"Non-Hispanic Black","College graduate or above",20649.801985,21360.939121,2,130
83876,"Female",71,"Non-Hispanic White","High school graduate/GED or equivalent",45307.96496,51541.657183,2,132
83877,"Female",13,"Other Race - Including Multi-Racial",NA,10615.837861,0,1,119
83878,"Male",10,"Non-Hispanic Black",NA,6750.534541,6991.939689,1,123
83879,"Female",14,"Non-Hispanic White",NA,70030.19969,71929.656593,2,126
83880,"Female",79,"Non-Hispanic White","Less than 9th grade",44576.005089,46534.060482,1,123
83881,"Female",32,"Non-Hispanic White","College graduate or above",59714.394897,61363.034774,2,125
83882,"Female",4,"Non-Hispanic White",NA,22984.991419,22518.044596,1,133
83883,"Female",80,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",12211.034893,11641.228605,1,128
83884,"Male",61,"Mexican American","High school graduate/GED or equivalent",8261.762664,8113.690331,1,127
83885,"Female",38,"Other Race - Including Multi-Racial","Some college or AA degree",12817.56984,13606.800072,2,121
83886,"Male",74,"Non-Hispanic White","College graduate or above",18954.716964,18906.149564,2,123
83887,"Female",51,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",27755.646518,27815.239396,1,119
83888,"Male",3,"Non-Hispanic White",NA,29469.314355,30523.784904,2,123
83889,"Male",26,"Non-Hispanic White","College graduate or above",160380.463921,170717.940863,1,132
83890,"Female",18,"Other Race - Including Multi-Racial",NA,7855.328403,7587.102082,1,119
83891,"Female",54,"Non-Hispanic White","Some college or AA degree",96865.533406,97546.396749,1,125
83892,"Female",2,"Other Race - Including Multi-Racial",NA,7641.82133,7943.351478,2,131
83893,"Female",68,"Mexican American","Less than 9th grade",9256.485487,0,1,121
83894,"Male",60,"Non-Hispanic Black","High school graduate/GED or equivalent",11029.710205,14849.610234,2,133
83895,"Female",80,"Non-Hispanic White","High school graduate/GED or equivalent",36609.713887,38906.088612,1,130
83896,"Female",9,"Other Hispanic",NA,10185.370028,10149.509781,1,120
83897,"Female",29,"Non-Hispanic White","College graduate or above",67592.46663,68402.551901,2,121
83898,"Male",55,"Non-Hispanic White","Some college or AA degree",186465.504037,197997.70503,2,127
83899,"Male",27,"Non-Hispanic White","Less than 9th grade",38559.402097,41361.395933,1,131
83900,"Female",52,"Non-Hispanic White","College graduate or above",38719.982212,38992.143171,1,125
83901,"Female",10,"Non-Hispanic Black",NA,10545.15261,11869.367595,2,132
83902,"Male",49,"Non-Hispanic White","Some college or AA degree",174686.833452,180562.622596,1,132
83903,"Female",47,"Non-Hispanic Black","Some college or AA degree",29052.030396,30052.523171,2,128
83904,"Female",80,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",16549.771552,0,2,133
83905,"Male",9,"Other Hispanic",NA,10997.586286,11168.380239,1,123
83906,"Female",11,"Other Race - Including Multi-Racial",NA,13090.99132,14106.660503,2,132
83907,"Male",22,"Other Race - Including Multi-Racial","College graduate or above",18936.932921,17901.767853,1,119
83908,"Male",51,"Non-Hispanic Black","High school graduate/GED or equivalent",23184.535988,22812.965188,2,120
83909,"Female",49,"Non-Hispanic White","Some college or AA degree",37421.782338,41791.705485,2,131
83910,"Male",37,"Non-Hispanic White","High school graduate/GED or equivalent",30010.408769,30870.783863,2,126
83911,"Female",43,"Non-Hispanic Black","Some college or AA degree",36302.125775,37552.297073,1,129
83912,"Male",1,"Mexican American",NA,9699.728211,10697.869905,1,127
83913,"Male",43,"Other Race - Including Multi-Racial","Less than 9th grade",11657.565795,11939.081157,2,120
83914,"Female",23,"Other Hispanic","Some college or AA degree",31630.348823,32116.999102,1,121
83915,"Male",71,"Mexican American","Some college or AA degree",12060.354947,12158.220371,2,127
83916,"Female",8,"Non-Hispanic Black",NA,9871.384668,10889.254128,1,129
83917,"Female",17,"Non-Hispanic White",NA,27453.833943,33923.731709,1,125
83918,"Male",15,"Non-Hispanic Black",NA,14977.970945,14880.488509,1,121
83919,"Male",19,"Mexican American",NA,18808.78021,18630.561724,1,120
83920,"Female",68,"Mexican American","Less than 9th grade",9719.309761,9306.463126,1,121
83921,"Female",10,"Non-Hispanic Black",NA,13655.223406,13822.632224,2,130
83922,"Male",1,"Non-Hispanic White",NA,16605.594222,18409.529458,2,120
83923,"Female",1,"Non-Hispanic White",NA,20178.607557,21739.799508,1,123
83924,"Female",48,"Non-Hispanic White","Less than 9th grade",107794.053857,108055.854056,2,123
83925,"Female",74,"Other Hispanic","High school graduate/GED or equivalent",11817.130541,12379.093161,1,128
83926,"Male",66,"Non-Hispanic White","Some college or AA degree",114108.866749,113023.591546,2,126
83927,"Female",66,"Other Race - Including Multi-Racial","College graduate or above",19836.671822,0,2,122
83928,"Female",62,"Mexican American","High school graduate/GED or equivalent",9632.695762,9223.528226,1,120
83929,"Female",10,"Non-Hispanic Black",NA,10127.711196,10251.873804,2,126
83930,"Male",17,"Non-Hispanic White",NA,41784.103858,42629.615392,1,131
83931,"Male",37,"Other Hispanic","9-11th grade (Includes 12th grade with no diploma)",29104.310658,30255.561433,2,125
83932,"Female",80,"Non-Hispanic White","Some college or AA degree",47792.366573,50790.182481,1,130
83933,"Female",31,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",53717.564965,54657.454167,2,125
83934,"Female",27,"Non-Hispanic Black","High school graduate/GED or equivalent",22943.608935,23177.371662,2,126
83935,"Female",44,"Other Race - Including Multi-Racial","College graduate or above",23990.612605,24243.789685,2,128
83936,"Male",12,"Non-Hispanic White",NA,49867.83164,58729.071708,2,123
83937,"Female",75,"Other Race - Including Multi-Racial","Less than 9th grade",20928.331691,22485.677011,1,129
83938,"Male",45,"Other Race - Including Multi-Racial","College graduate or above",13266.680321,15518.639687,1,119
83939,"Female",0,"Non-Hispanic White",NA,17961.224168,18143.274572,1,127
83940,"Male",16,"Other Hispanic",NA,21898.17489,21434.753457,1,129
83941,"Male",71,"Other Hispanic","High school graduate/GED or equivalent",7167.007759,7124.584524,1,124
83942,"Male",0,"Non-Hispanic White",NA,12426.967843,12480.998881,2,121
83943,"Female",17,"Mexican American",NA,17006.626018,16897.158322,2,129
83944,"Male",75,"Non-Hispanic Black","Some college or AA degree",12242.238241,12818.137491,2,126
83945,"Female",9,"Mexican American",NA,20993.705101,0,2,127
83946,"Male",43,"Non-Hispanic White","College graduate or above",164949.5265,164144.33165,1,126
83947,"Female",33,"Non-Hispanic White","Some college or AA degree",112478.98217,115584.386412,2,128
83948,"Female",13,"Mexican American",NA,12609.682599,12685.731071,1,130
83949,"Female",78,"Non-Hispanic White","High school graduate/GED or equivalent",48991.552289,51570.787479,1,125
83950,"Male",55,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",35971.936603,38997.631276,2,130
83951,"Male",24,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",38250.104471,37871.565336,2,132
83952,"Female",14,"Mexican American",NA,17249.137853,17179.735808,2,131
83953,"Female",46,"Mexican American","College graduate or above",32549.651673,34058.675648,1,128
83954,"Male",53,"Non-Hispanic White","High school graduate/GED or equivalent",115546.600602,120076.911339,2,123
83955,"Male",47,"Non-Hispanic Black","Some college or AA degree",22293.809933,23189.912945,1,133
83956,"Female",0,"Non-Hispanic White",NA,15424.797451,16860.222354,1,123
83957,"Female",0,"Mexican American",NA,5477.914878,6025.123556,1,125
83958,"Female",47,"Non-Hispanic Black","High school graduate/GED or equivalent",22585.839346,22634.332368,2,131
83959,"Female",22,"Non-Hispanic White","Some college or AA degree",57082.336854,57766.459844,1,125
83960,"Male",12,"Non-Hispanic White",NA,50784.933159,52462.74869,2,127
83961,"Female",44,"Non-Hispanic White","Some college or AA degree",107034.463902,123942.642998,2,121
83962,"Female",28,"Non-Hispanic Black","College graduate or above",32411.12157,31735.964902,2,129
83963,"Female",44,"Non-Hispanic Black","Some college or AA degree",28232.334461,29204.598577,2,130
83964,"Female",72,"Other Race - Including Multi-Racial","9-11th grade (Includes 12th grade with no diploma)",22245.320723,23978.556307,2,128
83965,"Male",49,"Mexican American","Some college or AA degree",26716.269365,27627.433535,1,127
83966,"Male",27,"Mexican American","9-11th grade (Includes 12th grade with no diploma)",29671.144939,39017.960483,1,120
83967,"Male",40,"Other Race - Including Multi-Racial","College graduate or above",20475.585062,21185.728757,2,128
83968,"Male",11,"Non-Hispanic White",NA,22220.622202,22346.25857,1,131
83969,"Female",21,"Non-Hispanic White","Some college or AA degree",72834.280133,73707.187729,1,127
83970,"Male",9,"Other Race - Including Multi-Racial",NA,10746.654007,10609.442979,1,121
83971,"Female",26,"Non-Hispanic White","Some college or AA degree",52616.522076,53247.122965,1,131
83972,"Female",10,"Mexican American",NA,16858.581369,17269.85378,2,127
83973,"Male",63,"Non-Hispanic White","College graduate or above",163538.990553,161983.591606,1,120
83974,"Female",2,"Other Race - Including Multi-Racial",NA,20633.976188,20214.790927,2,126
83975,"Female",65,"Other Hispanic","High school graduate/GED or equivalent",10495.865944,10191.914345,1,127
83976,"Male",80,"Non-Hispanic White","Some college or AA degree",42153.093207,45423.218372,2,127
83977,"Female",80,"Non-Hispanic White","High school graduate/GED or equivalent",55881.165728,58406.004915,2,121
83978,"Female",8,"Non-Hispanic Black",NA,10102.52761,10226.381476,2,126
83979,"Male",15,"Mexican American",NA,16497.386789,18731.642568,2,133
83980,"Female",10,"Non-Hispanic White",NA,39259.31861,38538.796133,1,127
83981,"Male",15,"Non-Hispanic Black",NA,22305.262924,24991.959326,2,121
83982,"Male",25,"Non-Hispanic White","College graduate or above",140866.697253,151436.562639,2,123
83983,"Female",71,"Other Hispanic","College graduate or above",13706.324535,0,1,124
83984,"Female",6,"Mexican American",NA,11920.673403,13616.710525,2,128
83985,"Male",55,"Non-Hispanic White","College graduate or above",133357.935129,142700.496043,2,128
83986,"Male",40,"Non-Hispanic White","Some college or AA degree",49076.369918,50727.109106,1,122
83987,"Male",68,"Mexican American","Less than 9th grade",9680.790253,9350.338441,1,121
83988,"Male",21,"Mexican American","High school graduate/GED or equivalent",38664.730952,43018.902365,2,122
83989,"Female",37,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",26534.179456,26323.048964,2,130
83990,"Female",79,"Mexican American","Less than 9th grade",15028.852963,14327.558193,1,128
83991,"Female",14,"Other Race - Including Multi-Racial",NA,47074.004042,48838.916447,1,130
83992,"Male",68,"Other Race - Including Multi-Racial","College graduate or above",14471.154605,20179.417316,2,133
83993,"Female",41,"Non-Hispanic Black","High school graduate/GED or equivalent",27155.844587,27214.149657,2,124
83994,"Female",60,"Non-Hispanic White","College graduate or above",227372.091075,223381.482388,2,127
83995,"Male",43,"Non-Hispanic Black","Some college or AA degree",23983.819165,24624.0564,2,129
83996,"Female",60,"Non-Hispanic Black","College graduate or above",18174.68369,18103.656902,2,119
83997,"Male",13,"Non-Hispanic Black",NA,11500.707665,11425.856605,2,132
83998,"Female",31,"Non-Hispanic White","College graduate or above",120133.900083,122235.867207,1,132
83999,"Male",71,"Other Race - Including Multi-Racial","Less than 9th grade",13587.734996,13483.718541,1,119
84000,"Male",2,"Non-Hispanic Black",NA,9213.905384,9685.98832,2,130
84001,"Female",54,"Other Hispanic","Some college or AA degree",17419.706242,17701.82134,1,123
84002,"Male",48,"Non-Hispanic White","Some college or AA degree",124724.104868,124749.859713,1,122
84003,"Female",1,"Mexican American",NA,9706.960598,10169.750498,2,121
84004,"Female",14,"Mexican American",NA,14827.39345,14800.279626,1,120
84005,"Male",26,"Non-Hispanic Black","College graduate or above",27415.323101,27144.009523,2,126
84006,"Female",45,"Non-Hispanic Black","9-11th grade (Includes 12th grade with no diploma)",28760.2501,28821.999917,1,132
84007,"Female",27,"Other Race - Including Multi-Racial","High school graduate/GED or equivalent",41217.889929,0,2,131
84008,"Female",62,"Other Race - Including Multi-Racial","High school graduate/GED or equivalent",15242.232799,16375.276871,1,119
84009,"Female",9,"Non-Hispanic Black",NA,16541.988526,18619.260415,2,129
84010,"Female",68,"Non-Hispanic White","High school graduate/GED or equivalent",155236.425858,152511.870586,1,129
84011,"Male",32,"Non-Hispanic White","Some college or AA degree",43636.609611,44544.034334,1,126
84012,"Male",24,"Mexican American","High school graduate/GED or equivalent",38173.669086,40340.159427,1,124
84013,"Male",14,"Non-Hispanic White",NA,25460.738632,25975.942888,1,122
84014,"Male",53,"Other Race - Including Multi-Racial","College graduate or above",15173.552469,15162.869423,2,128
84015,"Male",73,"Mexican American","Less than 9th grade",7943.900013,10945.113108,2,133
84016,"Female",41,"Mexican American","College graduate or above",42128.094999,43742.970217,2,127
84017,"Female",7,"Other Hispanic",NA,13477.429004,13806.216735,1,124
84018,"Male",27,"Non-Hispanic White","College graduate or above",128044.402077,133131.457626,2,129
84019,"Male",54,"Non-Hispanic Black","High school graduate/GED or equivalent",22407.211143,23307.562192,2,130
84020,"Male",2,"Non-Hispanic White",NA,25559.737848,0,2,124
84021,"Female",29,"Other Race - Including Multi-Racial","Some college or AA degree",17271.198531,18013.97539,1,130
84022,"Female",60,"Mexican American","Some college or AA degree",8626.098891,8376.294199,2,129
84023,"Female",19,"Non-Hispanic White",NA,25105.335328,26330.580255,2,132
84024,"Male",4,"Non-Hispanic White",NA,32502.429634,32766.200331,1,130
84025,"Female",18,"Non-Hispanic White",NA,41690.832025,42951.324965,2,127
84026,"Male",44,"Other Race - Including Multi-Racial","Some college or AA degree",18120.557189,17830.145083,2,132
84027,"Male",2,"Other Race - Including Multi-Racial",NA,8817.927676,8911.426169,2,122
84028,"Female",61,"Non-Hispanic White","College graduate or above",144268.942591,141736.877671,2,121
84029,"Female",28,"Mexican American","High school graduate/GED or equivalent",40602.643124,50798.059826,2,127
84030,"Male",46,"Mexican American","Less than 9th grade",24831.294224,25221.741084,1,120
84031,"Female",2,"Other Race - Including Multi-Racial",NA,10594.207754,0,2,121
84032,"Male",51,"Mexican American","Some college or AA degree",21549.463112,24220.703626,1,128
84033,"Female",41,"Other Race - Including Multi-Racial","Some college or AA degree",51829.255365,54200.877488,1,122
84034,"Female",25,"Non-Hispanic Black","Some college or AA degree",25123.436515,25379.408583,2,126
84035,"Male",10,"Other Hispanic",NA,13075.109079,13467.411176,2,123
84036,"Male",36,"Non-Hispanic White","College graduate or above",126038.015396,128658.980045,2,121
84037,"Male",66,"Non-Hispanic White","College graduate or above",135069.680736,185426.756225,2,133
84038,"Female",23,"Non-Hispanic White","College graduate or above",85208.887291,96343.268815,2,129
84039,"Male",36,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",36611.339336,37744.082899,1,125
84040,"Male",62,"Other Race - Including Multi-Racial","College graduate or above",19558.585919,0,1,129
84041,"Female",71,"Non-Hispanic White","Some college or AA degree",105812.951759,109544.909032,1,126
84042,"Male",75,"Non-Hispanic White","9-11th grade (Includes 12th grade with no diploma)",12148.048987,12320.306534,1,131
84043,"Female",0,"Mexican American",NA,5813.173248,6034.358927,1,132
84044,"Female",58,"Other Hispanic","Less than 9th grade",10352.531585,0,1,119
84045,"Female",10,"Non-Hispanic White",NA,25648.31227,25177.591277,1,130
84046,"Female",45,"Non-Hispanic White","College graduate or above",90320.308574,89348.088605,1,131
84047,"Female",72,"Other Race - Including Multi-Racial","College graduate or above",19668.578666,21201.048387,2,121
84048,"Male",0,"Non-Hispanic Black",NA,10851.062572,12046.633964,1,132
84049,"Male",11,"Mexican American",NA,11085.703463,15202.4937,1,121
84050,"Female",79,"Non-Hispanic White","College graduate or above",72232.067047,79382.030433,1,130
84051,"Female",55,"Mexican American","College graduate or above",18497.758679,19355.327344,1,128
