"SEQN","Gender_discrete","Age_continuous","Race_discrete","Education_discrete","WTINT2YR_continuous","WTMEC2YR_continuous","SDMVPSU_continuous","SDMVSTRA_continuous"
86133,"Female",6,"Non-Hispanic White",NA,19886.373588,19568.816302,2,123
86134,"Female",5,"Non-Hispanic Black",NA,10099.347791,10164.299794,1,126
86135,"Female",8,"Non-Hispanic Black",NA,9102.99151,9107.174775,1,123
86136,"Female",37,"Other Race - Including Multi-Racial","College graduate or above",22684.691804,29671.87806,2,131
86137,"Male",47,"Non-Hispanic White","Some college or AA degree",94495.847574,97364.470187,2,126
86138,"Female",6,"Mexican American",NA,10810.764172,10850.292982,1,128
86139,"Male",69,"Other Race - Including Multi-Racial","College graduate or above",12572.824354,12493.837188,2,119
86140,"Male",5,"Non-Hispanic Black",NA,10403.192544,12096.381961,2,126
86141,"Female",0,"Non-Hispanic Black",NA,5403.473804,5486.553009,1,126
86142,"Male",8,"Other Race - Including Multi-Racial",NA,19098.777773,19014.807018,2,124
86143,"Female",57,"Mexican American","College graduate or above",19736.58115,22445.997369,1,129
86144,"Male",25,"Non-Hispanic Black","College graduate or above",28034.779509,27757.33553,2,125
86145,"Female",14,"Non-Hispanic Black",NA,28388.019529,27867.705209,2,130
86146,"Male",40,"Other Race - Including Multi-Racial","College graduate or above",20808.863392,21802.893183,2,122
86147,"Male",16,"Non-Hispanic White",NA,26996.297919,28192.25997,1,125
86148,"Female",14,"Other Hispanic",NA,15891.453577,18226.004155,1,127
86149,"Female",54,"Non-Hispanic Black","High school graduate/GED or equivalent",26356.849663,26765.699354,2,123
86150,"Female",47,"Other Hispanic","9-11th grade (Includes 12th grade with no diploma)",15415.161445,15458.649912,1,133
86151,"Male",80,"Other Race - Including Multi-Racial","High school graduate/GED or equivalent",30663.347664,36006.593585,2,129
86152,"Male",25,"Other Race - Including Multi-Racial","Some college or AA degree",16657.866066,16973.987607,2,122
86153,"Female",15,"Mexican American",NA,12575.455851,14512.371805,1,122
86154,"Female",11,"Non-Hispanic Black",NA,11002.450872,10980.835749,1,132
86155,"Female",18,"Non-Hispanic White",NA,60125.440997,63059.812938,2,131
